PS	Method	PC
Cellular Organisms	MAKE-small+trans	94.7899
Eukaryota	MAKE-small+trans	92.4876
Viridiplantae	MAKE-small+trans	87.7886
Streptophyta	MAKE-small+trans	83.9112
Streptophytina	MAKE-small+trans	88.2222
Embryophyta	MAKE-small+trans	73.1633
Tracheophyta	MAKE-small+trans	66.9975
Magnoliophyta	MAKE-small+trans	61.9875
Mesangiospermae	MAKE-small+trans	38.976
Pentapetalae	MAKE-small+trans	29.9242
Rosids	MAKE-small+trans	26.7717
Malvids	MAKE-small+trans	23.6111
Brassicaceae	MAKE-small+trans	19.8623
Camelineae	MAKE-small+trans	18.1818
Arabidopsis	MAKE-small+trans	16.6667
Arabidopsis thaliana	MAKE-small+trans	10.9827
Cellular Organisms	MAKE-pool+trans	97.9458
Eukaryota	MAKE-pool+trans	98.4185
Viridiplantae	MAKE-pool+trans	96.5371
Streptophyta	MAKE-pool+trans	97.5728
Streptophytina	MAKE-pool+trans	98
Embryophyta	MAKE-pool+trans	93.6855
Tracheophyta	MAKE-pool+trans	96.5261
Magnoliophyta	MAKE-pool+trans	93.1897
Mesangiospermae	MAKE-pool+trans	86.4159
Pentapetalae	MAKE-pool+trans	73.1061
Rosids	MAKE-pool+trans	74.0157
Malvids	MAKE-pool+trans	66.6667
Brassicaceae	MAKE-pool+trans	66.2734
Camelineae	MAKE-pool+trans	64.3357
Arabidopsis	MAKE-pool+trans	56.6667
Arabidopsis thaliana	MAKE-pool+trans	41.2331
Cellular Organisms	BRAKE-small	98.45
Eukaryota	BRAKE-small	99.0445
Viridiplantae	BRAKE-small	97.5699
Streptophyta	BRAKE-small	98.2663
Streptophytina	BRAKE-small	97.3333
Embryophyta	BRAKE-small	96.357
Tracheophyta	BRAKE-small	96.7742
Magnoliophyta	BRAKE-small	94.0931
Mesangiospermae	BRAKE-small	90.2821
Pentapetalae	BRAKE-small	80.303
Rosids	BRAKE-small	67.7165
Malvids	BRAKE-small	55.5556
Brassicaceae	BRAKE-small	66.5683
Camelineae	BRAKE-small	76.9231
Arabidopsis	BRAKE-small	69.0476
Arabidopsis thaliana	BRAKE-small	33.7187
Cellular Organisms	BRAKE-large	98.4594
Eukaryota	BRAKE-large	99.061
Viridiplantae	BRAKE-large	97.8736
Streptophyta	BRAKE-large	98.0583
Streptophytina	BRAKE-large	96.8889
Embryophyta	BRAKE-large	96.4177
Tracheophyta	BRAKE-large	97.0223
Magnoliophyta	BRAKE-large	93.8151
Mesangiospermae	BRAKE-large	89.4462
Pentapetalae	BRAKE-large	79.5455
Rosids	BRAKE-large	68.5039
Malvids	BRAKE-large	62.5
Brassicaceae	BRAKE-large	70.3048
Camelineae	BRAKE-large	81.8182
Arabidopsis	BRAKE-large	70.4762
Arabidopsis thaliana	BRAKE-large	33.6224
Cellular Organisms	DirInf-pool	77.3296
Eukaryota	DirInf-pool	77.5453
Viridiplantae	DirInf-pool	75.0911
Streptophyta	DirInf-pool	73.6477
Streptophytina	DirInf-pool	75.7778
Embryophyta	DirInf-pool	68.9132
Tracheophyta	DirInf-pool	61.0422
Magnoliophyta	DirInf-pool	65.0452
Mesangiospermae	DirInf-pool	52.0376
Pentapetalae	DirInf-pool	51.8939
Rosids	DirInf-pool	49.6063
Malvids	DirInf-pool	37.5
Brassicaceae	DirInf-pool	44.5428
Camelineae	DirInf-pool	41.958
Arabidopsis	DirInf-pool	44.2857
Arabidopsis thaliana	DirInf-pool	41.3295
Cellular Organisms	DirInf-orph	98.4967
Eukaryota	DirInf-orph	99.1104
Viridiplantae	DirInf-orph	98.7242
Streptophyta	DirInf-orph	98.9598
Streptophytina	DirInf-orph	98.6667
Embryophyta	DirInf-orph	98.0571
Tracheophyta	DirInf-orph	96.5261
Magnoliophyta	DirInf-orph	96.3169
Mesangiospermae	DirInf-orph	94.1484
Pentapetalae	DirInf-orph	88.2576
Rosids	DirInf-orph	94.4882
Malvids	DirInf-orph	94.4444
Brassicaceae	DirInf-orph	90.8555
Camelineae	DirInf-orph	87.4126
Arabidopsis	DirInf-orph	82.8571
Arabidopsis thaliana	DirInf-orph	68.7861
Cellular Organisms	BIND-orph	98.5154
Eukaryota	BIND-orph	99.4069
Viridiplantae	BIND-orph	98.7242
Streptophyta	BIND-orph	99.2372
Streptophytina	BIND-orph	98.4444
Embryophyta	BIND-orph	98.4214
Tracheophyta	BIND-orph	99.2556
Magnoliophyta	BIND-orph	97.3593
Mesangiospermae	BIND-orph	96.5517
Pentapetalae	BIND-orph	92.803
Rosids	BIND-orph	93.7008
Malvids	BIND-orph	93.0556
Brassicaceae	BIND-orph	93.0187
Camelineae	BIND-orph	92.3077
Arabidopsis	BIND-orph	88.5714
Arabidopsis thaliana	BIND-orph	67.5337
Cellular Organisms	MIND-orph	98.4127
Eukaryota	MIND-orph	99.2916
Viridiplantae	MIND-orph	98.5419
Streptophyta	MIND-orph	99.6533
Streptophytina	MIND-orph	98.6667
Embryophyta	MIND-orph	98.4821
Tracheophyta	MIND-orph	98.263
Magnoliophyta	MIND-orph	97.4983
Mesangiospermae	MIND-orph	97.4922
Pentapetalae	MIND-orph	92.4242
Rosids	MIND-orph	94.4882
Malvids	MIND-orph	95.8333
Brassicaceae	MIND-orph	94.5919
Camelineae	MIND-orph	90.9091
Arabidopsis	MIND-orph	85.7143
Arabidopsis thaliana	MIND-orph	67.052
