ps,MAKER_Typical,MAKER_Pool,MAKER_Orphan,BRAKER_Typical,BRAKER_Pool,BRAKER_Orphan,DirInf_Typical,DirInf_Pool,DirInf_Orphan,MIND_Typical,MIND_Pool,MIND_Orphan,BIND_Typical,BIND_Pool,BIND_Orphan
Cellular Organisms,97,99,97,100,100,100,80,96,99,97,99,100,99,100,100
Eukaryota,95,99,98,100,100,100,80,95,98,95,99,100,99,100,100
Viridiplantae,93,99,97,99,99,99,76,95,98,94,99,100,99,100,100
Streptophyta,89,99,97,99,99,99,76,94,98,93,99,100,99,100,100
Streptophytina,89,98,96,99,99,99,71,91,98,92,99,99,99,100,100
Embryophyta,79,96,95,98,97,98,62,88,95,84,97,99,97,98,99
Tracheophyta,67,95,94,97,97,97,52,83,92,73,95,98,97,99,99
Magnoliophyta,72,96,95,98,98,98,59,83,94,81,96,99,98,99,99
Mesangiospermae,51,91,93,93,93,93,41,71,87,59,91,98,94,95,98
Pentapetalae,42,87,93,88,88,89,36,64,84,50,88,98,89,94,98
Rosids,29,80,88,81,80,82,30,66,83,41,85,96,81,88,96
Malvids,35,77,85,75,78,79,23,59,78,37,80,92,75,85,95
Brassicaceae,25,71,90,72,75,79,23,58,82,33,75,95,73,82,95
Camelineae,14,62,86,72,75,77,7,49,81,17,66,92,74,85,92
Arabidopsis,18,60,79,71,73,77,13,42,78,21,64,89,71,82,92
Arabidopsis thaliana,21,53,68,40,41,45,13,51,63,21,61,76,44,66,76
