100	mikado38	0
200	mikado38	0
300	mikado38	173
400	mikado38	7923
500	mikado38	4503
600	mikado38	3291
700	mikado38	2802
800	mikado38	2333
900	mikado38	2210
1000	mikado38	2246
1100	mikado38	2116
1200	mikado38	1886
1300	mikado38	1592
1400	mikado38	1453
1500	mikado38	1381
1600	mikado38	1320
1700	mikado38	947
1800	mikado38	805
1900	mikado38	728
2000	mikado38	596
2100	mikado38	507
2200	mikado38	431
2300	mikado38	375
2400	mikado38	332
2500	mikado38	338
2600	mikado38	245
2700	mikado38	235
2800	mikado38	170
2900	mikado38	178
3000	mikado38	139
3100	mikado38	157
3200	mikado38	137
3300	mikado38	102
3400	mikado38	86
3500	mikado38	60
3600	mikado38	81
3700	mikado38	58
3800	mikado38	53
3900	mikado38	40
4000	mikado38	36
4100	mikado38	35
4200	mikado38	29
4300	mikado38	25
4400	mikado38	14
4500	mikado38	23
4600	mikado38	25
4700	mikado38	6
>4500	mikado38	226
